GEMBASE_NAME,Isolation source,Strain Category,phylogroup
ESCO.0216.00516,Host-associated,Human_Intestinal,B1
ESCO.0216.00517,Host-associated,Poultry_Meat,B2
ESCO.0216.00518,Host-associated,Poultry_Meat,B1
ESCO.0216.00519,Host-associated,Mammal_Faecal,B1
ESCO.0216.00520,Host-associated,Human_Intestinal,D
ESCO.0216.00521,Host-associated,Human_Faecal,B2
ESCO.0216.00522,Host-associated,Bird_Faecal,A
ESCO.0216.00523,Host-associated,Bird_Faecal,B2
ESCO.0216.00524,Host-associated,Human_Intestinal,D
ESCO.0216.00526,Host-associated,Human_Faecal,A
ESCO.0216.00527,Host-associated,Poultry_Meat,B1
ESCO.0216.00528,Host-associated,Poultry_Meat,B2
ESCO.0216.00529,Host-associated,Human_Intestinal,D
ESCO.0216.00530,Host-associated,Poultry_Meat,E
ESCO.0216.00531,Host-associated,Bird_Faecal,D
ESCO.0216.00532,Environmental,Water,D
ESCO.0216.00533,Host-associated,Mammal_Faecal,B1
ESCO.0216.00534,Environmental,Water,D
ESCO.0216.00535,Environmental,Water,B1
ESCO.0216.00536,Host-associated,Poultry_Meat,B1
ESCO.0216.00537,Host-associated,Bird_Faecal,D
ESCO.0216.00538,Host-associated,Poultry_Meat,E
ESCO.0216.00539,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00540,Host-associated,Human_Intestinal,D
ESCO.0216.00541,Host-associated,Human_Faecal,B2
ESCO.0216.00542,Host-associated,Human_Extra-intestinal,B1
ESCO.0216.00543,Environmental,Water,B2
ESCO.0216.00544,Host-associated,Bird_Faecal,B2
ESCO.0216.00545,Host-associated,Human_Intestinal,D
ESCO.0216.00546,Host-associated,Human_Intestinal,B2
ESCO.0216.00547,Host-associated,Poultry_Meat,A
ESCO.0216.00548,Environmental,Water,A
ESCO.0216.00549,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00550,Environmental,Water,B1
ESCO.0216.00551,Host-associated,Bird_Faecal,B2
ESCO.0216.00552,Host-associated,Bird_Faecal,B1
ESCO.0216.00553,Host-associated,Poultry_Meat,B2
ESCO.0216.00554,Host-associated,Poultry_Meat,B2
ESCO.0216.00555,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00556,Host-associated,Mammal_Faecal,D
ESCO.0216.00557,Host-associated,Mammal_Faecal,A
ESCO.0216.00558,Environmental,Water,B1
ESCO.0216.00559,Environmental,Water,B2
ESCO.0216.00560,Host-associated,Human_Intestinal,B2
ESCO.0216.00561,Host-associated,Poultry_Meat,B2
ESCO.0216.00562,Environmental,Water,B1
ESCO.0216.00563,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00564,Host-associated,Bird_Faecal,B2
ESCO.0216.00565,Host-associated,Poultry_Meat,A
ESCO.0216.00566,Host-associated,Human_Intestinal,B2
ESCO.0216.00567,Host-associated,Human_Faecal,A
ESCO.0216.00568,Environmental,Water,B1
ESCO.0216.00569,Environmental,Water,B1
ESCO.0216.00570,Host-associated,Poultry_Meat,B2
ESCO.0216.00571,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00573,Environmental,Water,B2
ESCO.0216.00574,Environmental,Water,A
ESCO.0216.00575,Host-associated,Poultry_Meat,E
ESCO.0216.00576,Environmental,Water,A
ESCO.0216.00577,Host-associated,Poultry_Meat,B1
ESCO.0216.00578,Host-associated,Bird_Faecal,B1
ESCO.0216.00579,Environmental,Water,B1
ESCO.0216.00580,Host-associated,Poultry_Meat,B2
ESCO.0216.00581,Host-associated,Mammal_Faecal,E
ESCO.0216.00582,Host-associated,Human_Faecal,A
ESCO.0216.00583,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00584,Environmental,Water,B2
ESCO.0216.00585,Host-associated,Poultry_Meat,A
ESCO.0216.00586,Host-associated,Mammal_Faecal,B2
ESCO.0216.00587,Environmental,Water,B2
ESCO.0216.00588,Environmental,Water,B1
ESCO.0216.00589,Host-associated,Bird_Faecal,B1
ESCO.0216.00590,Host-associated,Mammal_Faecal,B2
ESCO.0216.00591,Host-associated,Poultry_Meat,B1
ESCO.0216.00592,Environmental,Water,D
ESCO.0216.00593,Host-associated,Human_Intestinal,B1
ESCO.0216.00594,Host-associated,Bird_Faecal,B2
